shaunaSHELLEY	1 more episode and then I'm caught up on the walking dead 👌
humapezsoua	RT @favechracter: poussey washington || orange is the new black http://twitter.com/favechracter/status/638542729279090688/photo/1
boppinbex85	I love everybody! #OITNB #HappyNewYear #NYE2016 http://twitter.com/boppinbex85/status/682703508659933185/photo/1
destineebranch	wow my dad is hooked on the walking dead he's so focused while he's watching it
SarahStyles1996	RT @rtsaddestdeaths: mika samuels || the walking dead http://twitter.com/rtsaddestdeaths/status/650038573325000704/photo/1
AnonCollegeguy	I shouldn't have watched a single episode of the walking dead. It's consuming my life
NicoleStegemann	Need something to do tonight. I have alcohol and me and Garrett are sitting alone watching breaking bad😂😂😂
ClarkKent219	Was nonbeliever of fate until she came in my life, influenced me to watch breaking bad and such. Now I'm loving how fate works ☺️😁.
Fatima_rdzz	RT @AyyProtagonist: If you've seen prison break , the transformation of officer Belik is the best thing to happen to a TV series
claraoswaald	RT @faveship: maggie and glenn - the walking dead http://twitter.com/faveship/status/664969493622431744/photo/1
reily_jane97	on this episode of the walking dead it's nye and it's nye tonight. #IveConqueredTheTVWorld
gavsprincess	@JakeWebber9 watching fear the walking dead and HAPPY NEW YEAR
KatiebirdBird	So I end my year watching #OITNB and start a new one with #SonsOfAnarchy #rocknroll 😎
roguedbrits	I'm going to watch the walking dead
breakingbad_bot	breakingbad_bot: breakingbad_bot: breakingbad_bot: breakingbad_bot: javie_623: I wanna start watching breaking bad and the walking dead but…
debnattcarey	#askimaginedragons have you guys watched fear the walking dead
Cxmille_h	@AlixJacquot13 @GraysonDolan mdr please follow us grayson cause i would watch breaking bad now😂
BishopBrigante	Think I'll randomly binge watch breaking bad all over again tonight.. 🍾🍾😴
Unkn0wnDragon	@Imaginedragons #Askimaginedragons why does this make me thing of the walking dead http://twitter.com/Unkn0wnDragon/status/682730168926875648/photo/1
kendallleahy	last episode of prison break😅
GreiHw	RT @sshownu: Post new-year fire work or a scene from the walking dead ????? http://twitter.com/sshownu/status/682599953252810752/photo/1
brownnskint	RT @netflix: Happy holidays, baby! Start the year off right with the ladies of Litchfield. 💕 #OITNB https://amp.twimg.com/v/76c0c446-8d52-495d-8679-66a4d92b077c
analizasandoval	Yay what a fun new years 🎉 , everyone's being bitchy and im just home watching "the walking dead"
remez_evelyn	First page of 365 days in 2016... Spending it like...#OITNB
Hak_Hakima	SVP qui regarde the walking dead ici
TheNeighborVB	" Hacker goes up against 1% bigwigs. Could hit breaking bad heights." - buddy's review of new show #MrRobot
_caroliiiine	@cloudy_eyed this long please punch me lmao. Ah narcos is SO good and Colombians are awesome yep yep
_ArialNazareno	My New Year's Eve consists of lots of wine and the walking dead
sabrinaah_x3	spending my New Years with my little chicken watching prison break 😊🐣💙
TrixieConQueso	Pretty much full up in 2015 with stories from Men's POV. Ready for more women's POV in #2016. #OITNB #JoyMovie #Trainwreck #ETC
Mariannacv1D	@Latin1DFamily the walking dead 👌💗
iNUT_ONTiTTiES	@DuddaBetch foreal....I was watching narcos like please don't fold Gustavo please don't fold lol & he didn't that's a real dude on both ends
SNEEEEKS	yes! my parents are home. I'm no longer scared bcus the walking dead 🙃
babyhobi	@cuddlyjimin_ johoney and i were basically the walking dead at one point but then we ate ACTUAL food and recovered in 2 seconds
ethangates_44	RT @rtsaddestdeaths: tyreese williams || the walking dead http://twitter.com/rtsaddestdeaths/status/645585746586411008/photo/1
kappiboo	RT @netflix: Happy holidays, baby! Start the year off right with the ladies of Litchfield. 💕 #OITNB https://amp.twimg.com/v/76c0c446-8d52-495d-8679-66a4d92b077c
siennajade1996	Michael and the doc had their first kiss🙈🙈🙈😍 #prisonbreak
dan_atwater	My phone alerted me Alabama scored again. Wouldn’t have known because I couldn’t take the pin anymore, turned on breaking bad.
Djtammyy	Bringing in 2016 by watching the walking dead marathon 😐
Loves_Reedus	RT @tiny_daryl: It dropped alright. #daryldixon #rickgrimes #thewalkingdead #normanreedus @wwwbigbaldhead http://twitter.com/tiny_daryl/status/682786772112113664/photo/1
thugpug7	Watching the walking dead #TWDMarathon
BendelacJoshua	@WalkingDead_AMC happy new year to the cast. Director producers and everyone that works on the walking dead this year is going to be anazing
ughfrustration	RT @rtsaddestdeaths: hershel greene || the walking dead http://twitter.com/rtsaddestdeaths/status/646393966020136960/photo/1
areito__	On 1st season of the walking dead, and God when does Shane fucking due
BryceMaC__24	@Kyleee_xx I'll try prison break 🤑
