alllibertynews	RT @tomr373: @DgGage @alllibertynews @TheLibRepublic no way! @Salon would never do that. #sarcasm
HCov1232	Wow look at this 'Bama offense #sarcasm #WarEagle
DannyFord93	@BIGJOEONTHEGO @withrowzone he is just a vandy homer #sarcasm
justdrewscott	Everyone should drink and drive. Its probably the safest thing to do. #sarcasm?
angst_victoria	It's official: #scientific proof that #sarcasm promotes #creativity! My life is complete! #newyearsresolutions http://ow.ly/WinqB
josephmccaff	RT @Mother_Buckers: Sick New Year's Eve #sarcasm
JaredLbooyah	R there any other games on tv?? The #CottonBowl is a joke...thank you #collegefootballplayoff committee 4 your continued expertise..#sarcasm
JokerBateman	New year new better me!!!!!!!!! #sarcasm
JadorelesK	RT @JuanBago: Nice job @NYPD34Pct 👌🏾#sarcasm https://twitter.com/apt78/status/682809908908154880
jojo_6290	Yeah this communication from afar is working out great! Best idea ever. #sarcasm #thissucksballs #overit
KamadevRaj	Learning #sarcasm https://twitter.com/TheFunnyTeens/status/682935579869319169
OccupyToronto	#TTC adding three more cars to the 501 morning rush. We did it #Toronto! - http://www.blogto.com/city/2015/12/ttc_improving_501_queen_streetcar_service/ #topoli #transit #sarcasm
DanielZolnikov	Apparently #balllivesmatter was a politically incorrect, offensive, newsworthy hashtag. 2016 starts with a new war on men. #mtpol #sarcasm
raj_kundalia	These days, #sarcasm is used like that massive punch, which is meant for a knockdown, well nearly a knockdown maybe. 😜
imjady2000	@HennaBatool unfortunately in this particular tweet @UmarCheema1 did not bash him. He is bashing IK's critic!! #sarcasm
R_Scott93	I wish my parents were as cool as Cam Newton and named me Chosen. #sarcasm
kickazzdad	@BianchiWrites that would've totally worked against Alabama. They miss assignment ALL the time and they are NOT athletic at all. #sarcasm
CleFan4Ever	How is Bell not ejected for targeting on that play??? #sarcasm
beachbumshirts	Funny T-shirt -- I Hate Everyone #college #tailgate #jokes #gifts #tshirts #sarcasm #rude http://www.amazon.com/Alstyle-Apparel-Funny-T-shirt-Everyone/dp/B0174G8Z9A/ref=sr_1_97?m=A2CSH5P5CJX02F&s=merchant-items&ie=UTF8&qid=1451685777&sr=1-97
ThomasSwords	@pittgriffin @GreenvilleNews They're necessary 2 protect us from an oppressive federal government. #sarcasm
NateFaulknerTV	38-9. WE HAVE A GAME!!!! #sarcasm
slick_rick_8	The bowl selection committee did an awesome job this year! So many barn burners!! #sarcasm
Tronshel	thanks a lot izzi -____- you definitively know how to make good internet #sarcasm
brittneebigdawg	I love how my drug store foundation cracks less than my mac foundation 😊😊😊 #sarcasm
BagOfPeanuts	Found this photo of ME! Not mine, still its ME!Come si fa a non amarvi #peanuts #happynewyear #2016 #sarcasm #che… http://ift.tt/1Ssaynh
amifezz	@kgyurnek but the Meninist account is soooooooo funny!!! Women's rights amiright? #sarcasm
Chexednut	There's nothing more I like than hanging out at work. #sarcasm
westofwarsaw	Ooooh, yes, they use 'assiduously' (one of my favorite words) way up!! Yayy! (#sarcasm) https://twitter.com/politico/status/683277842277371904
bibinmohan	Executive action on gun control and immigration. Democracy in play. #sarcasm
Freddiemaize	RT @Will3K85: #NewYearSamePersonBecause I'm pretty sure if I was someone else this fantastic luck would still follow me #sarcasm
Dudek2020	@uwsp46 @ktumulty @BigDave74Tex Why are u lying Chuck? It was 1,200 classified emails... #sarcasm
dremrahgenc	RT @INTHENOWRT: How many Saudi WOMEN showed up to vote for the first time? The Monarchy be like... #sarcasm #SaudiArabia https://t.co/xEi…
ARi3ky	RT @INTHENOWRT: How many Saudi WOMEN showed up to vote for the first time? The Monarchy be like... #sarcasm #SaudiArabia https://t.co/xEi…
masonjeremyrev	Nothing quite like an #ikea parking garage #sarcasm #isitroadrageinside
SpartanAvenueFS	Christian Hackenberg declares for the NFL? Yeah, he seems ready. #sarcasm
gferny	@aadelsonESPN as a life long Hurricane fan I love the hires. Though it kinda feels like a FSU infiltration #sarcasm #sortof #Canes #FSU
melindarice	Who could have seen this coming? #sarcasm #Idid https://twitter.com/itvnews/status/683386291833167877
EdFrankovic	Exactly, he's never wrong #sarcasm https://twitter.com/kaplunm/status/683496095763283968
RidiculousMedia	RT @Loslomo: Good to see this year is already off to a smashing start #sarcasm #OregonUnderAttack
Bubbly_bobbie	For the past three days London weather has been so disappointing. 💧☀☔ #greatstart #NewYear #sarcasm
amicabentleyxxx	@hollyslaine @ThePhoneTart wow. Wonder why he’s single #sarcasm #closecall #psychoprobz
