liz2halle8liz4	Sorry. Forgot the #sarcasm quotes around "kinda". https://twitter.com/answerallman/status/804107517194223616
JCovek13	RT @BRXPerformance: BRX Performance: now developing ambidextrous pitchers. @BrettKolacki27 couldn't throw lefty 2 months ago! #sarcasm…
Tjmax_15	RT @Tjmax_15: Watching #GTLive while working on a choir arrangement that's due in 2 hours. #priorities #ImTotallyWorking #sarcasm…
thematt_martin	The grey cup on Sunday and now Toronto fc won semis! Almost too much excitement for one week of sports! #sarcasm
Tanaya_Goswami	Next mandatory verdict of SC will be: change all the ringtones to "Jana Gana Mana" 😤 #sarcasm
iantapac	Ive always wanted to eat bfast lunch dinner alone talaga. Im so good at veing a liner na i wanna keeo this forever na. #sarcasm
ratreeyip072	RT @DhammakayaLeaks: Suspicious Death in DSI Custody. Good thing DSI isnt handling anything #Dhammakaya related. #sarcasm #whoshidingnow…
bohick	@BaseballFact that stat doesn't even matter anyways! 😜#sarcasm
tcoley1	Misleading headline. #sarcasm This festive beaver went "shopping" for Christmas decorations http://ti.me/2gqrsGW
ramniranjan187	RT @gdey: Why so alarmed ? It is our own Indian Army ! The tweet sounds as if a foreign army has invaded Bengal ! #sarcasm…
feralgear	SARCASM IS JUST ANOTHER SERVICE I OFFER Shop @ http://bit.ly/1MlYYK6 #sarcasm #humor #sarcastic #gift #joke http://twitter.com/feralgear/status/712648702788313088/photo/1
CarsonRocer2112	RT @bethanybrandom: Oh, and Mor/She talk nothing but sunshine and roses!! #sarcasm #BBOTT #JasonNation https://twitter.com/suddenlysuzie47/status/800829093033967616
drcastillo55	RT @lybr3: Stop making intelligent points!! Just stop it. Dont you know that that's passe! Jeez man. #sarcasm https://twitter.com/ryanthekeymaker/status/804477387211739136
spike7667	If it's a marine or army I understand because they can't read & write. But us navy guys did both. Wow we are extra special #sarcasm
katmoch	Sometimes I'm really thankful that my computer hates me #sarcasm
GlensWorldStuff	glad I got the pop up to buy skyrim though @Xbox #sarcasm #thegameawards
TXNomadDK	Doug Free looks like he's having a tough game. #sarcasm 'Bend but don't break' defense needs to make a play. #DALvsMIN
ogbog	Let's torrent all movies from @illuminate_ent and pay for one lucky winning film! I'll also give them exposure @singmovie #specwork #sarcasm
Beth_Honeyman	Always the refs fault... #sarcasm #eyeroll
Nats_News801	Because I'm a direct descendant of the king of Prussia, my husband feels I shafted him because I'm not a princess. #lol #sarcasm
chloe379	Great end to a great day #sarcasm #putafilteronit #wrongtrain… https://www.instagram.com/p/BNgOYzLDK5gDo9k_1IZ9RsPJnLhNwaogizEvFY0/
NaizaPerez	One day to go...and Im here counting my savings to see hoe far I'd come without this job 😭#sarcasm #meme #nowork #whyisitnotweekendyet
akshaygaikwad88	Me , when they ask me lousy questions in viva test ..#sarcasm #sarcastic https://twitter.com/akshaygaikwad88/status/804611274403434496/photo/1
calwhitejr	@jeddore1972 Tell 'em to call me. We could go to Vegas ! #sarcasm
feeedomsguard	* #sarcasm - There--I fixed it for you https://twitter.com/readeradrift/status/804513473816305664
RinishaMistry	@centralline wow - delays 5 days in a row! #centralline #tfl - thank god the prices are frozen til 2020 #sarcasm
AAPfirse	RT @lowmetalsuicide: My neighbour Aunty was abusing Modiji From now on she is Auntynational #sarcasm #DeMonetisation
BellaCraftsP	Who sees themselves in their #children? #sarcasm https://twitter.com/BellaCraftsP/status/804755113684402176/photo/1
asbismillah	@pickupIines ...ermm.. WHAAT...!!! why would you want to hurt a cat... for the #ejiot #sarcasm
LeftDebunked	Sure you did. It's not like people have been making this kind of thing up or anything like that. #sarcasm https://twitter.com/therealezway/status/804783150136180737
saltomaha	@brad_dickson pre-trial next week... glad to have more money taken from us instead of doing good in the community. #sarcasm @MeanStreetsOMA
Tjtripn	@dbro2 @PrisonPlanet he just a puppet on the stings. Who's the puppet master🤔#sarcasm
SteMinturd	@Horsefricker im 76% sure that this stastistic is not totally made up. #sarcasm
dsenik	@BarbaraRKay sure Barbara. Because if there's one thing about Trump is that you can count on him to come through to do what's right #sarcasm
smartassquote	With old age comes freedom! #age #old #thought #talk #funny #humor #sarcasm http://fb.me/YFyVnxfP
mygravity_3443	@Yedois @TrixieSimone @asheville the citizen times is sooo credible. #sarcasm
GeezManetti	@ColetteLala she also planned their meals, duh #sarcasm
exgag	This Day That Year. #exgag #exgagtale #sarcasm #relatable #happybirthday #humour #writers #viralstuff… https://twitter.com/i/web/status/804901770933796865
BeneHeinrich	@cafedotcom #FakeNews or #sarcasm The guy literally campaigned aroubd ALL the Dems. 5-7 100k+ rallies a day!… https://twitter.com/i/web/status/804935247469150208
shittyinsults	I'd #draw with a. #sarcasm #puns #pranks
a_wrighton	Callon is back, #sarcasm intact. Check out the #Allegiance sample on #bookbuzzr #mustread #fantasy #dragon - http://bit.ly/2dJE2li
JuveFC1897	@khaledalnouss1 @azkhawaja1 @Omar_King619 oh.. maybe I wasn't very clear.. "The man has a flu! #sarcasm"
shouldergeek	@ezlusztig @NicoleKowalski5 @nytimes @chrislhayes ... Oh, but she sent EMAILS. From her own SERVER. :( #sarcasm #mediafailure #GOPHypocrisy
MrPowersCMS	Disconnected. . . #sarcasm Do you work in a k-12 environment? #satchat https://twitter.com/professorx823/status/805034999485435904
2015agentx	@RobLowe Hollywood hacks read this Tweet and say, "yeah, what a lame cast." 😐 Luv It. #sarcasm is not dead.
FreePublicTrans	All this cement was used to build structure that will employ only solar power, right? #degrowth #sarcasm https://twitter.com/intlspectator/status/805071713813823492
Boldtowngirl	'He's a great guy' The mass murderer said about Trump. #sarcasm #readthearticle https://twitter.com/TIME/status/805095509832724480
Zyrgle	@MilitaryRosary You're joking, right? No conflict of interest to see here... now just move along... #sarcasm
Coach_CTyson	@UnkleSilkk Twitter Coaches know NOTHING! McElwain has us back in ATL for the second straight year! SMH .... #sarcasm #SomebodyGottaGoTho
ReRodey	Good thing the #nhljets choose to play burmi and thorbzzz over someone like Howden or DeLeo ... #sarcasm
MyWitsEndTweet	It's said that #sarcasm is the lowest form of #wit. To that I say "No, really? Hey, somebody give this person a #Nobel #peace #prize!"
PhillyDave75	Brilliant call on that 4th down...#sarcasm #PSUvsWIS #WeAre
