VrginX	They still make #GarbagePailKids? #sarcasm @toppscards: http://twitter.com/toppscards/status/693949069018939392
1AmericanWoman	RT @jensan1332: Yet Trump supports tariffs cuz trade wars are great for economics and creating jobs right #sarcasm https://twitter.com/Perfectly_Laura/status/693944781962018816
simeon_carmen	RT @STEM08: Flipped on Fox news for a moment. Shocked to see them promoting that Benghazi movie. #sarcasm
beachbumshirts	Funny Sayings T-shirt -- All Pro Beer Drinker -- #Amazon #jokes #sarcasm #quoteoftheday #SundayFunday #gifts http://www.amazon.com/Alstyle-Apparel-Sayings-T-shirt-Drinker/dp/B017SH0OSU/ref=sr_1_60?m=A2CSH5P5CJX02F&s=merchant-items&ie=UTF8&qid=1454288576&sr=1-60
Uredus	RT @stagen: Oh so, I was only kidding, so you have no reason to be offended. #JustKidding #sarcasm
mrwilliamsworld	@Billd111 @chris30542 @seanhannity @MonicaCrowley So they're transparent liars. Promise kept; problem solved #sarcasm
pagalpanty	I live only on weekends.on weekdays I exist #sarcasm
elenamethyst	There is nothing better than 90 min spanish class on a monday morning 😊 #sarcasm #schoollife
StrictlyRebel	Visit Europe & get cavities from their crazy non-fluoridated h2o supply. #sarcasm #fluoride @YourHydration #sarcasm http://fluoridealert.org/content/europe-statements/
hbkjohnhill	I wonder whose voicemails he's listening to... #surelynothim #sarcasm #Murdoch https://twitter.com/peterjukes/status/694112514771177472
jasonsanford	@SamSykesSwears I naturally go with the scandal attached to the biggest asshat of a writer. Always know that scandal will be fun. #sarcasm
RB9CMS	@janinedigi @UN and the Russians are being SO helpful #sarcasm
roberts682	But surely we can influence the EU market from our seat at the WTO.... #Brexit #sarcasm https://twitter.com/StrongerIn/status/694139031513382912
GodOfTheGallows	@ealperin @dcumoviepage don't be silly he's a super hero they are never queer #sarcasm seriously though wolverine/Hercules needs a movie
Mwforhr	Gee, no excitement here. Nothing to see. Move along. #sarcasm I #StandWithHillary #ImWithHer https://twitter.com/brendakole/status/693989186471243777
Dan2582Ortiz	RT @Mwforhr: Gee, no excitement here. Nothing to see. Move along. #sarcasm I #StandWithHillary #ImWithHer https://twitter.com/brendakole/status/693989186471243777
