pizzadaze	Oh no! Not the "bro code"!!! @ETCanada #sarcasm #iggydeservesbetter
Al_Gorelioni	Steve, great to know you're campaigning against Trump. #sarcasm @SteveDeaceShow @PatriotCzar @CR #TrumpTrain #Trump2016
indiecitizn	Why are so many Hillary supporters so charming & kind to Bernie supporters when attempting to get our votes?! #sarcasm #theyrude #manynotall
JoJo_Hutchinson	There's a mouse somewhere. Ode to joy #sarcasm
tetines90	@jessesingal oh how witty...im sure his forefather shakespeare would be so proud #sarcasm
TisVeee	Ah,you know you've got your life together when you have an alarm set for 1:30pm called "wake the duck up" #sarcasm
lewismaichel1	RT @brittoldehoff: Well today was quite the day... Wish my horoscope had prepared me for it... #sarcasm
perrysthomas	RT @Ash_Kazi: #ImSoSick of Bernie raising $6 million in less than 24 hours. #sarcasm #FeelTheBern #ToneDownForWhat
clarry_8	Apparently if a character dies on a TV show is because the writers hate the actor who plays it. #FridayFacts #yourewelcome #sarcasm
crystal_horror	RT @NaturalBAtheist: And remember, the bible is the only place that gives us our morals. #sarcasm #atheist https://twitter.com/iamatheistgirl/status/714976857599377409
WodeWose7	RT @Death2RapeGangs: I Wonder How Many #MUSLIMS #Lefties Will Tweet "what about all they muslim rape gangs" #sarcasm http://twitter.com/Death2RapeGangs/status/715836644960702464/photo/1
katieroxx13	This day is gunna be fucking great #sarcasm
speckledsheep	RT @JeanetteJing: @veggie64_leslie at least she was a nafta critic from the start #sarcasm https://twitter.com/jeanettejing/status/668799237488971777
munschkin210	This is an old picture of mine...but still holds true. LMAO #sarcasm #underestimated https://www.instagram.com/p/BDqOqHcwQp-/
JeffreyinCA	RT @shotwave: Yeah, let's nominate this guy. #GOP #Wisconsin #Gopprimary #NeverTrump #CrusCrew #sarcasm #RNC https://twitter.com/annemarieweers/status/715922047554072576
John_A_Gonzalez	RT @wifehacksco: Replace birth control pills with sugar pills. #AprilFools #lifehacks #wifehacks #babyhacks #sarcasm
Si	This is the exactly right time for the whole family to suffer from sickness. #sarcasm
shkr283	@BaryPatwal I know man but still you can't bite a dog if he bites you first ? I hope you'd not. Lol #sarcasm 😄😬
cward21187	@NoahRiddle16 faith.....i believe #sarcasm
Witticisms_R_us	The shocker tshirt, adult tshirt, sex humor, graphic tee, sarcastic shirt, … http://tuppu.net/ad29118a #funny #sarcasm http://twitter.com/Witticisms_R_us/status/715980289005080576/photo/1
JoshuaKilimnik	RT @Drew_Haytaoglu: Guys, I'm not actually British. I know it's realistic, but it's true I don't have an accent. #sarcasm #ytvbrunoandboots…
kbradsmith	@Vinncent say it again, 'It was a joke'. Humor here usually completed misses its target. #sarcasm #allalone
sharkcastpod	RT @shark2420: @NRL how dare @PaulGallen13 get a picture with his son at his first game!!! Talk about being selfish!!! #sarcasm #DUIBec
jaudio	#CHIeye % #freedomofspeech is #essential clearly this guy wants you to #recycle 😏 #sarcasm… https://www.instagram.com/p/BDrrNnwzdWz/
trythiswithoute	Vitamin C will make you sick. #sarcasm #livelifehealthy
CalebGrunzke	Those rain-wrapped stovepipes I tell ya #sarcasm #rainshaft https://twitter.com/mark_tarello/status/715909020859510784
KennyBrandon	@CommunityDad @GiaPaige I thought I was supposed 2call U a bitch & choke u out everywhere, at the minimum; especially Starbucks! #sarcasm
efliski	'Who Wants to Live Forever,' huh? #autism #parenthood #welfarestate #Poland #sarcasm
PublicJeeErr	@JohnCleese I guess this is where we all join the kaliphate after all to thank him for being "such a great and gentle human being." #sarcasm
Niyomi_Sempris	Oh how much I love closing then opening the next morning ❤️❤️❤️❤️ #sarcasm
simonmarsh86	This is going well 😒...#F1 #BahrainGP #sarcasm
matthewnotmatt	Q2 HAS STARTED - THIS WILL BE EPIC!!!!!!!!!! 😴😴😴 #sarcasm #F12016
FC10UK13	Well mlb, we need to ban all sliding. Too many people are getting hurt #sarcasm https://twitter.com/sportscenter/status/716241302698983425
theebaddiie	RT @kendra2k16: Because I wasn't trying to avoid that persons snap story 😑 #sarcasm #thankssnapchat #fuckthisupdate
SelfieRobot	I thought atleast today would be a #sarcasm #free day Then this thing came up #fml #Estoy #burracho #cerveza @monke… http://twitter.com/SelfieRobot/status/716320025729175552/photo/1
PBandKnelly	@ZachBarlage9 @Esgro6 @UncleMartyPants @Lucente17 fuck I'm embarrassed #sarcasm
eemas91	Good thing fans know their fandom and know their priorities #sarcasm
emilesyman	RT @JeanetteJing: @groggygirl85 But she caaaaares about the children! #sarcasm
Sherriceee	Guess who's getting 149 dollars back for taxes? Me! I could buy 1 pair of hunters, 1 pair or ray bans, or 45 starbuck drinks. #rich #sarcasm
carleepaige107	Brilliant!!!!!!🤗 #sarcasm https://twitter.com/kanyewest/status/716375879715139584
shaefus	#snow, #sun, #rainbow ... got to love #ohioweather. #sarcasm @ Columbus, Ohio https://www.instagram.com/p/BDtx43Mt7HK/
officialmhd98	Without electricity, awesome!! -_- #nolights #no #electricity #poweroff #awesome #super #sarcasm #dammit http://twitter.com/officialmhd98/status/716406596402880512/photo/1
rtatts7	@SethMacFarlane it's this reason alone, I really enjoy watching the notebook. #sarcasm
Bogs4NY	I'm gonna go out on a limb and say #Villanova is a lock for the NCAA Championship game #sarcasm #FinalFour
YourmanJ81	@MatthewCocaCBS @TremendousUM @BrandonCJustice @lildickytweets he'll be back in the NFL #sarcasm
colbyjaxmom	Fuckkkkk.. This day couldn't get any better. #sarcasm
halocraft2014	The coolest dad on the planet w/ @PacManPayen, @Arberi_10, @HH_Chracker #sarcasm... (Vine by @thewebbeffect19) https://vine.co/v/i1pw2iOxawb
kevindmurry	A Black woman showing interest in a Black man on a t.v. show? #idontbelieveit #sarcasm #TheFlash
bsk5496	@chetan_bhagat looks like you need to add #sarcasm at end of your tweets too.. Like #joke 😊😀
Mrkwhitehead	@SkySportsF1 yay! Another @LewisHamilton interview your really breaking the mound this year already, go #SkyF1 go #sarcasm #timetoturnoff
ptwithroshni	Ever noticed how the number of reps you perform at the gym is directly proportional to the number of people watching you? #gym #sarcasm
L0WROLLER	I always write some very deep lyrics for my tracks 😁 #sarcasm http://twitter.com/L0WROLLER/status/716602780245499908/photo/1
valdaorgan	How in the hell did writers through the ages create anything without self help books for writers or Creative Writing workshops? #sarcasm
SaraEbrik	My luck has been beautiful today. 🙃 #sarcasm
